"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-01","8.50","0.44",,"45","36"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-02","5.14","0.02",,"42","32"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-03","4.70","0.00",,"57","27"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-04","5.14","0.00",,"63","32"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-05","6.26","0.00",,"55","34"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-06","7.38","0.11",,"49","31"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-07","12.97","0.64",,"42","38"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-08","10.29","0.00",,"41","33"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-09","5.82","0.00",,"44","28"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-10","6.04","0.00",,"38","27"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-11","5.14","0.00",,"44","25"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-12","3.13","0.00",,"51","22"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-13","7.61","0.00",,"56","25"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-14","10.96","0.00",,"61","36"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-15","14.99","0.00",,"47","34"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-16","8.05","0.00",,"51","33"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-17","8.95","0.00",,"56","28"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-18","7.83","0.00",,"61","28"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-19","5.14","0.00",,"62","42"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-20","4.92","0.14",,"49","33"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-21","3.80","0.01",,"53","43"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-22","7.61","0.00",,"54","37"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-23","8.28","0.00",,"46","32"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-24","3.58","0.80",,"55","40"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-25","10.96","0.20",,"75","51"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-26","7.83","0.00",,"59","42"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-27","10.74","0.04",,"42","35"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-28","7.38","0.00",,"42","30"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-29","5.82","0.00",,"52","30"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-30","11.18","0.09",,"60","46"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-01-31","13.65","0.00",,"57","40"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-01","10.51","0.00",,"49","33"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-02","3.80","0.00",,"46","27"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-03","5.37","0.00",,"52","25"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-04","10.74","0.01",,"58","39"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-05","5.37","0.00",,"58","25"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-06","6.93","0.25",,"52","39"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-07","9.62","0.00",,"39","32"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-08","7.83","0.00",,"46","31"
"USW00013963","LITTLE ROCK AIRPORT ADAMS FIELD, AR US","2021-02-09","9.17","0.00",,"44","31"
